algorithm,digits,trial,wall_ms,total_cost_ms,peak_rss_bytes,bytes_read,bytes_written,energy_joules,verified,error
chudnovsky_naive,1000,1,0.356,0.396,2621440,0,0,0.000,true,
chudnovsky_recurrence,1000,1,0.234,0.241,2654208,0,0,0.000,true,
chudnovsky_bs,1000,1,0.121,0.127,2736128,0,0,0.000,true,
chudnovsky_bs,100000,1,65.693,94.119,5488640,0,0,0.000,true,""
chudnovsky_bs,100000,2,36.160,36.820,5668864,0,0,0.000,true,""
chudnovsky_bs_valuation,100000,1,35.669,36.330,5685248,0,0,0.000,true,""
chudnovsky_bs_valuation,100000,2,35.696,36.636,5963776,0,0,0.000,true,""
chudnovsky_bs_crown,100000,1,7.261,7.942,7356416,0,0,0.000,true,""
chudnovsky_bs_crown,100000,2,7.203,7.997,7405568,0,0,0.000,true,""
ramanujan_classic_bs,100000,1,19.315,20.197,7913472,0,0,0.000,true,""
ramanujan_classic_bs,100000,2,19.072,19.710,8011776,0,0,0.000,true,""
mpfr_const_pi,100000,1,27.539,29.237,8142848,0,0,0.000,true,""
mpfr_const_pi,100000,2,26.578,28.348,8257536,0,0,0.000,true,""
arb_const_pi,100000,1,11.338,36.724,13434880,0,0,0.000,true,""
arb_const_pi,100000,2,9.720,35.013,13942784,0,0,0.000,true,""
chudnovsky_bs,1000000,1,750.110,1194.376,30916608,0,0,0.000,true,""
chudnovsky_bs,1000000,2,312.946,320.890,32292864,0,0,0.000,true,""
chudnovsky_bs_valuation,1000000,1,310.764,318.565,32489472,0,0,0.000,true,""
chudnovsky_bs_valuation,1000000,2,320.641,328.416,33538048,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,1,84.970,93.477,47759360,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,2,81.046,89.218,48381952,0,0,0.000,true,""
ramanujan_classic_bs,1000000,1,232.341,240.279,55361536,0,0,0.000,true,""
ramanujan_classic_bs,1000000,2,233.487,241.482,55558144,0,0,0.000,true,""
mpfr_const_pi,1000000,1,475.078,501.669,56573952,0,0,0.000,true,""
mpfr_const_pi,1000000,2,486.581,513.855,57589760,0,0,0.000,true,""
arb_const_pi,1000000,1,101.117,562.791,76922880,0,0,0.000,true,""
arb_const_pi,1000000,2,107.245,642.856,76939264,0,0,0.000,true,""
chudnovsky_bs,10000000,1,5691.106,5751.458,289619968,0,10000002,0.000,true,""
chudnovsky_bs,10000000,2,5801.052,5953.434,294584320,0,20000004,0.000,true,""
chudnovsky_bs_valuation,10000000,1,5461.090,5521.557,297910272,0,30000006,0.000,true,""
chudnovsky_bs_valuation,10000000,2,5707.727,5772.502,315965440,0,40000008,0.000,true,""
chudnovsky_bs_crown,10000000,1,1918.499,2454.216,449003520,0,40000008,0.000,true,""
chudnovsky_bs_crown,10000000,2,1543.682,1610.022,452706304,0,40000008,0.000,true,""
ramanujan_classic_bs,10000000,1,4339.892,4399.893,718192640,0,40000008,0.000,true,""
ramanujan_classic_bs,10000000,2,4372.357,4432.383,734789632,0,40000008,0.000,true,""
mpfr_const_pi,10000000,1,8949.255,8975.614,734789632,0,40000008,0.000,true,""
mpfr_const_pi,10000000,2,9044.544,9070.978,676462592,0,40000008,0.000,true,""
arb_const_pi,10000000,1,1476.037,1920.725,711311360,0,40000008,0.000,true,""
arb_const_pi,10000000,2,1467.074,1911.424,711311360,0,40000008,0.000,true,""
chudnovsky_bs,100000000,1,95520.290,96105.784,1688797184,0,140000010,0.000,true,""
chudnovsky_bs,100000000,2,92524.853,93100.155,1839005696,0,240000012,0.000,true,""
chudnovsky_bs_valuation,100000000,1,92462.545,93039.940,1839005696,0,340000014,0.000,true,""
chudnovsky_bs_valuation,100000000,2,92732.117,93314.666,1850277888,0,440000016,0.000,true,""
chudnovsky_bs_crown,100000000,1,28106.556,29174.765,1850277888,0,440000016,0.000,true,""
chudnovsky_bs_crown,100000000,2,27637.079,28239.463,2286977024,0,440000016,0.000,true,""
ramanujan_classic_bs,100000000,1,39931.792,40486.626,3416014848,0,440000016,0.000,false,""
ramanujan_classic_bs,100000000,2,38591.185,39155.040,3416096768,0,440000016,0.000,false,""
mpfr_const_pi,100000000,1,140979.772,141005.699,1457733632,0,440000016,0.000,true,""
mpfr_const_pi,100000000,2,144239.321,144266.297,1528512512,0,440000016,0.000,true,""
arb_const_pi,100000000,1,21529.164,21983.961,2984083456,0,440000016,0.000,true,""
arb_const_pi,100000000,2,21135.638,21589.327,3749445632,0,440000016,0.000,true,""
chudnovsky_bs_crown,100000,1,30.568,54.541,6209536,0,0,0.000,true,""
chudnovsky_bs_crown,100000,2,6.629,7.283,6471680,0,0,0.000,true,""
arb_const_pi,100000,1,11.128,36.270,13221888,0,0,0.000,true,""
arb_const_pi,100000,2,10.259,35.327,13451264,0,0,0.000,true,""
chudnovsky_hybrid,100000,1,6.779,7.434,13910016,0,0,0.000,true,""
chudnovsky_hybrid,100000,2,6.630,7.256,14139392,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,1,507.074,938.704,38666240,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,2,81.957,89.878,44728320,0,0,0.000,true,""
arb_const_pi,1000000,1,100.202,549.899,65486848,0,0,0.000,true,""
arb_const_pi,1000000,2,110.830,590.383,65568768,0,0,0.000,true,""
chudnovsky_hybrid,1000000,1,88.622,97.519,68665344,0,0,0.000,true,""
chudnovsky_hybrid,1000000,2,97.039,105.608,70156288,0,0,0.000,true,""
chudnovsky_bs_crown,10000000,1,1985.557,2525.456,373178368,0,0,0.000,true,""
chudnovsky_bs_crown,10000000,2,1554.873,1626.797,391299072,0,0,0.000,true,""
arb_const_pi,10000000,1,1574.998,2034.740,587137024,0,0,0.000,true,""
arb_const_pi,10000000,2,1562.288,2026.054,686456832,0,0,0.000,true,""
chudnovsky_hybrid,10000000,1,2039.774,2589.847,711098368,0,0,0.000,true,""
chudnovsky_hybrid,10000000,2,1544.189,1608.070,758333440,0,0,0.000,true,""
chudnovsky_bs_crown,100000000,1,29199.902,29820.763,2281406464,0,0,0.000,true,""
chudnovsky_bs_crown,100000000,2,29455.057,30120.243,2350137344,0,0,0.000,true,""
arb_const_pi,100000000,1,21050.451,21538.332,4057563136,0,0,0.000,true,""
arb_const_pi,100000000,2,24018.988,24796.705,4057563136,0,0,0.000,true,""
chudnovsky_hybrid,100000000,1,23725.702,24219.927,3699523584,0,0,0.000,true,""
chudnovsky_hybrid,100000000,2,26203.696,26656.472,3584114688,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,1,504.132,930.463,33587200,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,2,79.730,87.763,37748736,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,3,81.363,89.454,39632896,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,1,119.366,133.396,45596672,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,2,79.572,87.533,45793280,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,3,79.454,87.371,45826048,0,0,0.000,true,""
chudnovsky_hybrid,1000000,1,79.482,87.392,47988736,0,0,0.000,true,""
chudnovsky_hybrid,1000000,2,79.184,87.022,48037888,0,0,0.000,true,""
chudnovsky_hybrid,1000000,3,79.721,87.533,48087040,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,1,494.221,915.034,35733504,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,2,79.993,88.018,38125568,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,3,82.325,90.352,39256064,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,1,502.397,922.254,32751616,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,2,80.612,88.971,38158336,0,0,0.000,true,""
chudnovsky_bs_crown,1000000,3,80.098,88.285,40615936,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,1,79.592,87.653,41959424,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,2,82.406,90.371,43155456,0,0,0.000,true,""
chudnovsky_bs_crown_h15,1000000,3,79.490,87.657,43352064,0,0,0.000,true,""
chudnovsky_hybrid,1000000,1,79.830,87.788,44417024,0,0,0.000,true,""
