pass,knob,value,median_wall_ms,accepted
0,defaults,0,64.0062,true
1,leaf_block_terms,4,63.7324,true
1,leaf_block_terms,8,64.731,false
1,leaf_block_terms,16,63.0825,true
1,leaf_block_terms,32,63.2258,false
1,min_chunk_terms,128,64.2535,false
1,min_chunk_terms,512,63.0995,false
1,max_crown_depth,6,65.3047,false
1,max_crown_depth,8,64.1187,false
1,max_crown_depth,9,62.9778,true
1,max_parallel_levels,3,64.84,false
1,max_parallel_levels,4,63.6166,false
1,max_parallel_levels,6,63.9011,false
1,intra_node_parallel_bits,262144,62.7526,true
1,intra_node_parallel_bits,524288,62.8226,false
1,intra_node_parallel_bits,1048576,64.4517,false
1,root_split_sixteenths,8,69.5055,false
1,root_split_sixteenths,10,68.1584,false
1,root_split_sixteenths,11,67.3157,false
2,leaf_block_terms,4,68.2605,false
2,leaf_block_terms,8,62.7441,true
2,leaf_block_terms,16,63.1682,false
2,leaf_block_terms,32,63.4493,false
2,min_chunk_terms,128,65.6262,false
2,min_chunk_terms,512,63.7148,false
2,max_crown_depth,6,66.1046,false
2,max_crown_depth,7,62.7889,false
2,max_crown_depth,8,64.2458,false
2,max_parallel_levels,3,65.0198,false
2,max_parallel_levels,4,63.0562,false
2,max_parallel_levels,6,63.658,false
2,intra_node_parallel_bits,524288,63.8241,false
2,intra_node_parallel_bits,1048576,64.0664,false
2,root_split_sixteenths,8,68.7538,false
2,root_split_sixteenths,10,68.3279,false
2,root_split_sixteenths,11,67.6418,false
